product,series_id,speed_rpm,event_index,time_s,thump_level_est_dba,event_energy_est_dba,raw_peak_est_dba,raw_low_band_dbfs,local_background_est_dba,exhaust_ratio_db,wav
富瑞初始,FR_INIT_260709_600,600,20,28.06,66.16802993254909,53.00278512951262,69.51936082194936,-47.69483298077181,66.82525104611699,22.471340937110703,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\富瑞自研_600rpm_600.wav
富瑞初始,FR_INIT_260709_600,600,21,28.6,86.64084130340724,85.62192393648358,86.68965318517506,-30.524540617546112,67.17268249669702,7.106723918237467,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\富瑞自研_600rpm_600.wav
富瑞初始,FR_INIT_260709_600,600,22,29.98,76.45434857000052,73.64311604066496,76.99441402526828,-40.219779777452885,67.67380013294844,14.772097856401984,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\富瑞自研_600rpm_600.wav
富瑞初始,FR_INIT_260709_600,600,23,31.84,87.12641266932701,86.47805520746039,87.1721555048718,-30.042038297849366,67.37469187396083,8.42596515817274,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\富瑞自研_600rpm_600.wav
富瑞初始,FR_INIT_260709_600,600,24,33.26,75.81026341635186,73.76444132680008,76.41235846669149,-40.80183533602968,67.53359588156331,17.097998105100974,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\富瑞自研_600rpm_600.wav
富瑞初始,FR_INIT_260709_600,600,25,34.68,66.01348171841597,53.1464613283419,69.15010859238615,-48.06408521033502,66.26256460158655,22.817797792736577,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\富瑞自研_600rpm_600.wav
富瑞初始,FR_INIT_260709_600,600,26,35.28,83.39308327199568,81.38383149653252,83.45618365035233,-33.75801015236884,65.04714818182549,10.104025136212961,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\富瑞自研_600rpm_600.wav
富瑞初始,FR_INIT_260709_600,600,27,36.76,75.01789194480943,71.55337219805241,75.3856633460613,-41.828530456659855,64.4810116580082,16.594986229269903,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\富瑞自研_600rpm_600.wav
富瑞初始,FR_INIT_260709_600,600,28,37.3,67.4327319875074,52.681025570597356,69.21325904589071,-48.00093475683045,64.4810116580082,25.5041389171393,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\富瑞自研_600rpm_600.wav
富瑞初始,FR_INIT_260709_600,600,29,38.4,65.03037764846829,52.009351440536435,68.18834562481436,-49.02584817790681,65.32085737765179,23.071823656089823,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\富瑞自研_600rpm_600.wav
富瑞初始,FR_INIT_260709_600,600,30,38.72,84.72515617837288,82.26504362543176,84.77640866657553,-32.437785136145635,65.47011405481686,6.430378556927849,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\富瑞自研_600rpm_600.wav
富瑞初始,FR_INIT_260709_600,600,31,40.16,75.7954341139546,73.94563520797807,76.18232116010059,-41.031872642620584,65.48831237787768,15.215397283526276,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\富瑞自研_600rpm_600.wav
富瑞初始,FR_INIT_260709_600,600,32,41.86,68.35904100296662,53.31106470781522,70.07707001466616,-47.13712378805501,65.21879867697078,22.24774213944497,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\富瑞自研_600rpm_600.wav
富瑞初始,FR_INIT_260709_600,600,33,42.28,79.84613970715472,77.93447346717306,79.96489961188618,-37.24929419083499,64.27451026546231,13.458648089547637,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\富瑞自研_600rpm_600.wav
东德基准,DD_BASE_260707_700,700,1,0.5,74.11976258253836,70.16205975769842,74.11976258253836,-43.094431220182805,-282.7858061972788,16.33514594058058,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,2,2.02,82.74763834507377,79.37579590556633,82.79898792797536,-34.4152058747458,63.50086452397112,12.070035732769583,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,3,3.24,71.80230022373732,69.928054660702,72.4011968233379,-44.812996979383264,63.50086452397112,23.401579969959176,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,4,4.84,78.26063031769108,73.61434720747994,78.38594252695194,-38.828251275769226,62.925527832800796,16.99521239717086,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,5,6.08,70.3737946074223,67.83634216013121,71.15311002266604,-46.06108378005513,63.308567119798695,24.62218537813068,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,6,7.68,76.87001486596793,72.49484398044481,76.98931531015161,-40.22487849256956,61.31837912975052,16.394808041832704,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,7,8.92,70.07418209107477,67.30797554612744,70.61714840940638,-46.59704539331478,61.31837912975052,24.3268239653086,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,8,13.8,69.97741792500756,69.08165155738989,70.38406886643756,-46.83012493628361,59.89670451644752,23.279198405261315,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,9,15.14,71.58263834404178,68.62770777836657,71.906304228814,-45.307889573907175,60.46860246195556,19.600712905485437,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
