series_id,date,condition,short_label,speed_rpm,run,event_index,time_s,thump_level_est_dba,event_energy_est_dba,raw_peak_est_dba,background_est_dba,exhaust_ratio_db,wav,normalized_thump_peak_db,normalized_event_energy_db
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,16,13.9,76.80137775120336,62.384242470764605,77.74042993213888,70.62841495524218,12.04163380826656,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,68.34505947198184,53.927924191543084
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,17,14.6,87.7191002817674,84.7827780095509,87.88810923074476,73.70513269599172,2.7225982913655784,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,79.26278200254588,76.32645973032938
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,18,15.58,87.80673772749579,85.5404301607616,87.97243396830272,73.70513269599172,2.684897642631036,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,79.35041944827427,77.08411188154008
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,19,16.64,76.8431974531712,62.26172405237339,78.11691929073712,72.16851522588567,12.428937173165739,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,68.38687917394968,53.80540577315187
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,20,17.14,87.50412063558392,84.25652406436086,87.6989490622909,74.1205791388946,2.8326376243827553,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,79.0478023563624,75.80020578513934
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,21,18.12,88.10286459647409,85.72780964291121,88.25917775064127,73.74336774438855,2.553568107095632,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,79.64654631725257,77.27149136368969
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,22,18.9,76.14886153021956,67.31623007203977,77.43908637654569,71.5387442355892,12.964836188639222,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,67.69254325099804,58.85991179281825
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,23,19.78,85.84687370518162,83.7730596674132,86.14382962585978,74.34527444094203,4.991260671370682,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,77.3905554259601,75.31674138819167
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,24,20.76,86.12472665665445,84.59320212782242,86.3889159370184,74.09879971188205,4.425715059263688,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,77.66840837743293,76.1368838486009
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,25,21.76,76.72336190978879,63.05046762981729,78.00967272252291,72.09799618010136,11.395752621948738,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,68.26704363056727,54.59414935059577
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,26,22.4,86.75630105163953,84.90423370106774,86.97680326136094,73.92330497084713,3.090311636622861,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,78.299982772418,76.44791542184622
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,27,23.5,86.42078332369533,85.23523694101782,86.65694795497205,73.89370618120569,3.425313336800194,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,77.96446504447381,76.7789186617963
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,28,24.44,77.55234737727847,72.93196590881814,78.50241337837204,71.4357314641662,12.355192588493168,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,69.09602909805695,64.47564762959662
