speed_rpm,fu_typical_p50_dbfs,dd_typical_p50_dbfs,fu_minus_dd_typical_db,fu_loud_p90_dbfs,dd_loud_p90_dbfs,fu_minus_dd_p90_db,fu_p95_dbfs,dd_p95_dbfs,fu_minus_dd_p95_db
700,-46.670000418519564,-43.47768937270411,-3.192311045815451,-31.851844482199,-34.67510583041741,2.8232613482184092,-27.139867736338445,-31.078435965656798,3.938568229318353
800,-52.141943334518004,-54.04313001641804,1.901186681900036,-32.79421786338499,-32.83387093394454,0.039653070559545256,-28.51716055503641,-28.159697936485852,-0.3574626185505565
900,-41.305593906101464,-43.83507123716568,2.5294773310642142,-29.749250030871465,-35.5829536794115,5.8337036485400375,-28.81662350032662,-32.207571844537696,3.3909483442110755
1125,-26.881173610395606,-52.77262757786488,25.891453967469275,-25.64340779744549,-27.845071761094204,2.2016639636487128,-25.54728305327817,-27.654897034219193,2.1076139809410215
