product,speed_rpm,video,time_s,event_rms_dbfs,bg_rms_dbfs,excess_dbfs,prominence_db,env_peak_db
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,20.86843537414966,-36.22609266613512,-42.46342902557916,-37.40557331417338,6.2373363594440345,-31.300317655638597
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,21.78297052154195,-38.43987174444977,-29.558747818570406,-53.66865919725314,-8.881123925879358,-34.56339441228577
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,21.965260770975057,-29.736946522685308,-35.40707095889433,-31.109739142037288,5.670124436209026,-35.85560366114607
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,22.15151927437642,-24.093656289343738,-38.223758378712574,-24.264776786737823,14.13010208936884,-15.473140275785433
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,22.73095238095238,-40.507851651260324,-29.445183682338328,-55.7366391040637,-11.062667968921993,-34.61591614990753
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,23.37904761904762,-35.228392964509936,-40.27249631494491,-36.859032123130035,5.0441033504349715,-30.121190987379297
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,24.04408163265306,-38.5712958756887,-37.62663622383268,-53.80008332849207,-0.9446596518560137,-33.99919604794399
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,24.30015873015873,-38.21099103624292,-34.96294091487265,-53.4397784890463,-3.24805012137028,-34.56919797049936
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,24.55482993197279,-37.85515286451354,-34.784249459091555,-53.083940317316916,-3.0709034054219817,-34.23087659735395
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,24.887437641723356,-30.500459833229392,-39.72930119880203,-31.05282427589094,9.228841365572634,-21.80027161083339
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,25.077097505668934,-38.67819712852497,-40.05654031917337,-44.33342629432608,1.3783431906483958,-32.864616113063036
